                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                0.46688,                0.39342,                0.82285,                 0.9508,                0.92932,                 0.9623,                 0.8193,                0.64727,                0.43596,                0.86608,              0.0004387,              0.0004387,              0.0004387
                     72,                0.45846,                0.39869,                0.82091,                 0.9499,                0.93384,                0.95901,                 0.8197,                0.61517,                0.43346,                0.85941,             0.00042456,             0.00042456,             0.00042456
                     73,                0.45938,                0.38823,                0.81204,                0.98329,                0.91086,                0.95692,                0.82179,                0.62293,                0.42982,                0.86048,             0.00041041,             0.00041041,             0.00041041
                     74,                 0.4209,                0.36193,                0.80918,                0.97592,                0.90614,                0.95756,                 0.8153,                 0.6215,                0.41752,                 0.8617,             0.00039626,             0.00039626,             0.00039626
                     75,                0.43945,                0.37092,                0.81728,                0.98311,                0.91374,                0.95982,                0.82014,                0.61666,                0.41523,                0.85893,             0.00038211,             0.00038211,             0.00038211
                     76,                0.44833,                0.37229,                0.82101,                 0.9819,                0.91402,                0.96084,                0.81725,                0.64853,                0.42503,                 0.8631,             0.00036797,             0.00036797,             0.00036797
                     77,                 0.4413,                0.37284,                0.81315,                0.96864,                0.92389,                 0.9628,                0.82148,                0.65574,                0.42026,                0.86469,             0.00035382,             0.00035382,             0.00035382
                     78,                 0.4344,                0.38825,                0.81739,                0.96374,                0.92863,                0.96354,                0.81917,                0.62164,                0.41032,                0.85733,             0.00033967,             0.00033967,             0.00033967
                     79,                0.43121,                0.35988,                0.81987,                0.96063,                0.92842,                0.96418,                0.82295,                0.63422,                0.40907,                0.86284,             0.00032553,             0.00032553,             0.00032553
                     80,                0.42471,                0.37438,                0.82112,                0.97058,                0.92758,                0.96459,                0.82415,                0.61925,                0.41629,                0.86082,             0.00031138,             0.00031138,             0.00031138
                     81,                0.42139,                0.36614,                0.81258,                0.97654,                0.92789,                0.96377,                0.83143,                0.61353,                 0.4012,                0.86083,             0.00029723,             0.00029723,             0.00029723
                     82,                0.42755,                0.36233,                0.82048,                0.97284,                0.92962,                0.96233,                0.82464,                0.63516,                0.39537,                0.86648,             0.00028308,             0.00028308,             0.00028308
                     83,                0.44143,                0.35531,                0.80782,                0.96177,                 0.9333,                0.96153,                0.81799,                0.63774,                0.40071,                0.86073,             0.00026894,             0.00026894,             0.00026894
                     84,                0.43114,                0.35345,                0.81309,                0.97396,                0.91851,                  0.959,                0.82348,                0.62428,                0.39511,                0.84901,             0.00025479,             0.00025479,             0.00025479
                     85,                0.40981,                0.34833,                0.80684,                0.97589,                 0.9332,                0.96016,                0.82519,                0.62491,                0.39639,                0.84936,             0.00024064,             0.00024064,             0.00024064
                     86,                0.42441,                0.34905,                0.80693,                0.95742,                0.94514,                 0.9623,                0.82639,                0.61435,                0.39696,                0.84801,              0.0002265,              0.0002265,              0.0002265
                     87,                0.42986,                0.37421,                0.83044,                0.95676,                 0.9465,                 0.9622,                0.83096,                0.60543,                0.39522,                0.84782,             0.00021235,             0.00021235,             0.00021235
                     88,                0.39185,                 0.3398,                0.81877,                 0.9615,                0.93381,                0.95835,                0.83288,                0.58628,                 0.3858,                0.84817,              0.0001982,              0.0001982,              0.0001982
                     89,                0.38795,                 0.3344,                0.80851,                0.96268,                0.93319,                0.95823,                0.83331,                0.58316,                0.38593,                0.84942,             0.00018406,             0.00018406,             0.00018406
                     90,                 0.4032,                0.34883,                0.81037,                0.97941,                0.92058,                0.95932,                 0.8377,                0.58968,                0.38756,                0.84752,             0.00016991,             0.00016991,             0.00016991
                     91,                0.39888,                 0.3371,                0.80241,                0.98424,                0.92106,                 0.9584,                0.82804,                0.59642,                0.39084,                0.84754,             0.00015576,             0.00015576,             0.00015576
                     92,                0.43288,                0.36265,                0.83172,                0.99177,                0.92135,                0.95823,                0.82847,                0.60902,                0.40284,                0.85091,             0.00014161,             0.00014161,             0.00014161
                     93,                0.38744,                0.33714,                0.78749,                0.98127,                0.92315,                 0.9573,                0.83382,                0.60307,                0.39693,                0.85064,             0.00012747,             0.00012747,             0.00012747
                     94,                0.38411,                0.33999,                0.81117,                0.97762,                0.91945,                0.95711,                  0.831,                0.59285,                0.39266,                0.84765,             0.00011332,             0.00011332,             0.00011332
                     95,                0.38536,                0.34108,                0.81096,                0.94066,                0.94485,                0.95756,                0.83564,                0.59676,                0.38516,                  0.849,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     96,                0.37581,                0.32075,                0.80495,                0.94001,                 0.9465,                0.95702,                 0.8344,                0.59747,                 0.3808,                0.85138,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     97,                0.36952,                0.32247,                 0.8059,                0.93989,                 0.9465,                0.95683,                0.83428,                0.59523,                0.38134,                0.85056,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     98,                0.36682,                0.31527,                0.80758,                0.93664,                0.94892,                0.96392,                0.83733,                0.58846,                0.37974,                0.84766,             5.6731e-05,             5.6731e-05,             5.6731e-05
                     99,                0.38652,                 0.3254,                0.81522,                0.94552,                 0.9465,                0.95866,                0.83484,                 0.5883,                0.38373,                0.84749,             4.2584e-05,             4.2584e-05,             4.2584e-05
                    100,                0.35937,                0.31428,                0.79153,                0.97711,                 0.9187,                0.95825,                0.83042,                 0.5904,                0.38144,                0.84821,             2.8437e-05,             2.8437e-05,             2.8437e-05
